Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Travel_Rarely,905,Research & Development,1,4,Medical,1,311,4,Male,87,3,3,Laboratory Technician,1,Married,9739,25657,1,Y,No,14,4,1,80,2,15,3,3,9,5,3,6
28,No,Travel_Rarely,863,Research & Development,2,4,Technical Degree,1,312,4,Male,86,3,1,Research Director,4,Single,4892,3530,4,Y,No,20,3,3,80,1,7,1,2,7,2,3,6
34,No,Travel_Rarely,527,Research & Development,9,4,Technical Degree,1,313,4,Male,91,2,5,Manager,3,Divorced,12863,13574,2,Y,No,17,4,1,80,1,12,1,3,9,6,2,8
39,No,Non-Travel,180,Sales,3,3,Other,1,314,4,Female,31,3,2,Manager,4,Married,5114,4746,5,Y,No,14,3,2,80,0,16,3,3,0,0,0,0
49,No,Non-Travel,650,Research & Development,1,3,Medical,1,315,1,Female,45,3,5,Research Scientist,2,Married,14370,24402,3,Y,Yes,11,3,1,80,2,26,1,2,2,1,0,1
37,No,Travel_Rarely,1306,Research & Development,6,1,Technical Degree,1,316,1,Female,92,2,4,Research Scientist,3,Single,10304,3810,2,Y,No,19,3,1,80,1,16,2,2,4,2,2,2
39,No,Travel_Rarely,1435,Research & Development,29,4,Life Sciences,1,317,3,Male,76,3,2,Laboratory Technician,4,Divorced,6785,21683,0,Y,No,16,3,2,80,0,19,2,3,11,9,1,10
42,Yes,Travel_Rarely,1481,Research & Development,1,4,Technical Degree,1,318,1,Male,43,2,3,Manager,1,Married,10799,17728,2,Y,No,15,3,1,80,1,19,3,3,5,3,2,4
35,No,Travel_Frequently,556,Research & Development,27,2,Other,1,319,3,Male,51,3,1,Healthcare Representative,3,Divorced,3097,26324,3,Y,No,11,3,3,80,1,12,3,2,7,3,1,5
38,No,Travel_Rarely,1404,Research & Development,12,2,Medical,1,320,3,Female,88,3,5,Manager,4,Married,14098,5038,2,Y,No,13,3,2,80,0,15,4,2,0,0,0,0
40,No,Travel_Rarely,762,Sales,5,4,Marketing,1,321,3,Male,77,1,1,Sales Representative,3,Single,4309,3179,2,Y,No,20,3,1,80,1,17,3,3,0,0,0,0
30,Yes,Travel_Rarely,571,Human Resources,3,2,Human Resources,1,322,4,Male,77,3,5,Human Resources,3,Married,13870,9866,5,Y,No,13,3,3,80,1,10,1,3,0,0,0,0
32,No,Travel_Rarely,1371,Sales,2,3,Life Sciences,1,323,3,Male,90,3,1,Sales Executive,2,Single,5305,3017,2,Y,No,14,3,1,80,2,12,2,3,3,2,1,2
47,No,Non-Travel,1474,Research & Development,6,4,Technical Degree,1,324,3,Male,35,2,1,Research Scientist,2,Married,5306,13883,6,Y,No,17,3,4,80,2,25,4,2,0,0,0,0
37,No,Travel_Rarely,1494,Research & Development,10,2,Medical,1,325,3,Male,47,1,4,Manufacturing Director,3,Single,9493,18233,3,Y,Yes,11,3,3,80,0,14,5,3,1,0,0,0
32,No,Travel_Rarely,965,Research & Development,1,1,Medical,1,326,3,Male,50,2,3,Research Scientist,3,Divorced,10416,23103,1,Y,Yes,12,4,4,80,1,10,4,3,3,2,1,2
44,No,Travel_Rarely,1163,Human Resources,16,4,Life Sciences,1,327,2,Male,91,3,3,Manager,2,Single,9539,24922,2,Y,No,21,3,4,80,0,24,2,3,15,12,8,11
52,No,Travel_Rarely,718,Research & Development,5,3,Medical,1,328,1,Male,88,2,3,Research Director,4,Married,11476,4730,5,Y,No,18,3,2,80,1,32,3,3,3,1,1,2
47,No,Travel_Rarely,663,Research & Development,13,3,Other,1,329,4,Female,76,2,4,Research Scientist,2,Divorced,12593,8199,1,Y,No,11,3,3,80,0,27,3,3,6,4,1,3
46,No,Travel_Rarely,1060,Research & Development,1,1,Technical Degree,1,330,2,Male,86,2,1,Manager,2,Married,4145,17648,4,Y,No,14,4,1,80,0,25,2,2,0,0,0,0
40,No,Travel_Rarely,1317,Research & Development,6,2,Medical,1,331,1,Female,35,3,3,Research Director,3,Divorced,10504,15590,3,Y,No,16,3,3,80,1,17,2,2,17,12,2,10
38,No,Non-Travel,379,Research & Development,25,5,Technical Degree,1,332,3,Female,97,2,4,Research Scientist,2,Married,11856,17773,3,Y,No,14,3,3,80,0,15,3,4,11,7,3,4
41,No,Travel_Rarely,831,Sales,1,3,Life Sciences,1,333,4,Male,49,1,5,Sales Representative,4,Divorced,12804,21033,0,Y,No,15,3,3,80,2,19,0,3,2,1,0,1
23,Yes,Non-Travel,1244,Sales,1,3,Life Sciences,1,334,1,Male,94,3,3,Manager,4,Married,8660,24936,5,Y,Yes,20,3,3,80,1,0,2,2,1,0,0,0
44,No,Travel_Rarely,117,Human Resources,4,2,Other,1,335,4,Male,70,2,3,Manager,4,Married,10081,25865,4,Y,No,11,3,3,80,3,22,1,3,0,0,0,0
23,Yes,Travel_Rarely,1047,Human Resources,1,1,Life Sciences,1,336,4,Male,51,2,4,Human Resources,4,Single,8660,5757,2,Y,Yes,12,3,2,80,1,2,3,3,1,0,0,0
39,Yes,Travel_Frequently,1236,Research & Development,1,1,Other,1,337,4,Male,34,3,4,Manufacturing Director,3,Married,14126,25233,5,Y,No,20,3,1,80,1,18,3,3,2,0,0,1
37,No,Travel_Rarely,496,Research & Development,7,2,Life Sciences,1,338,1,Male,66,3,2,Manager,4,Divorced,5735,5142,3,Y,No,13,3,3,80,1,14,1,3,14,7,4,8
24,No,Travel_Frequently,1119,Sales,3,3,Life Sciences,1,339,3,Female,86,1,5,Manager,1,Married,10972,22068,3,Y,Yes,17,3,3,80,2,4,2,3,4,1,2,3
30,Yes,Travel_Rarely,185,Research & Development,29,2,Life Sciences,1,340,1,Male,72,3,2,Healthcare Representative,1,Single,6998,5913,6,Y,No,15,3,3,80,0,9,2,2,2,0,0,1
45,Yes,Travel_Rarely,229,Sales,2,1,Marketing,1,341,3,Male,67,2,4,Sales Executive,4,Single,11261,12774,2,Y,No,12,3,3,80,0,24,4,2,2,1,0,0
54,No,Travel_Rarely,1123,Research & Development,6,2,Technical Degree,1,342,2,Female,72,2,4,Healthcare Representative,4,Single,13994,18527,2,Y,No,13,3,4,80,0,34,1,3,0,0,0,0
34,No,Travel_Rarely,1388,Sales,10,1,Other,1,343,1,Female,35,1,3,Sales Representative,3,Divorced,8778,12827,1,Y,No,21,4,3,80,3,14,2,1,7,2,2,2
42,No,Travel_Rarely,599,Sales,3,2,Life Sciences,1,344,3,Female,79,3,2,Sales Executive,4,Divorced,7897,11979,3,Y,No,16,3,3,80,0,21,3,3,1,0,0,0
39,Yes,Travel_Rarely,802,Research & Development,3,3,Medical,1,345,3,Female,66,3,2,Laboratory Technician,3,Single,5756,17648,2,Y,Yes,18,3,2,80,0,18,3,2,2,1,0,1
38,Yes,Travel_Rarely,1155,Research & Development,4,1,Life Sciences,1,346,1,Female,36,2,2,Healthcare Representative,2,Divorced,7497,9353,4,Y,Yes,12,3,2,80,0,15,3,3,4,1,1,3
21,Yes,Travel_Rarely,1213,Research & Development,8,2,Technical Degree,1,347,4,Male,91,2,1,Manager,3,Married,3981,2112,3,Y,No,17,3,3,80,1,1,5,3,1,0,0,0
42,No,Travel_Rarely,1149,Research & Development,1,3,Technical Degree,1,348,4,Male,46,4,4,Laboratory Technician,4,Married,13289,23771,4,Y,No,21,3,4,80,2,22,3,3,10,9,0,9
48,Yes,Travel_Rarely,1418,Research & Development,1,5,Technical Degree,1,349,1,Male,47,3,2,Laboratory Technician,2,Married,8862,6593,1,Y,No,11,3,3,80,0,27,1,3,3,2,1,2
35,No,Travel_Rarely,358,Sales,4,4,Medical,1,350,2,Female,63,2,3,Sales Representative,1,Single,8454,8256,1,Y,No,16,3,1,80,0,15,2,4,0,0,0,0
39,No,Travel_Rarely,366,Research & Development,2,3,Medical,1,351,4,Male,93,3,3,Research Director,3,Married,8354,22091,3,Y,Yes,11,3,3,80,1,19,3,3,1,0,0,0
29,No,Travel_Rarely,1433,Research & Development,2,4,Technical Degree,1,352,1,Female,36,2,2,Research Scientist,2,Married,5658,15097,3,Y,No,15,4,4,80,1,6,6,3,3,2,0,2
44,Yes,Travel_Rarely,713,Research & Development,3,2,Technical Degree,1,353,4,Male,39,2,2,Manager,1,Married,6993,10180,2,Y,Yes,13,3,1,80,1,21,4,4,5,2,0,2
31,Yes,Travel_Rarely,273,Research & Development,9,4,Technical Degree,1,354,3,Female,46,2,1,Laboratory Technician,2,Divorced,5026,12044,3,Y,No,14,3,4,80,1,11,4,1,3,1,0,2
21,No,Travel_Frequently,942,Sales,3,4,Life Sciences,1,355,3,Female,67,3,3,Manager,1,Divorced,7997,8921,4,Y,No,15,3,3,80,2,0,2,3,1,0,0,0
24,Yes,Travel_Rarely,681,Sales,1,2,Life Sciences,1,356,1,Female,85,3,2,Manager,4,Married,6729,21744,1,Y,No,15,4,1,80,0,4,4,3,0,0,0,0
27,No,Non-Travel,1325,Research & Development,3,2,Medical,1,357,1,Male,86,3,3,Healthcare Representative,1,Married,8437,5105,2,Y,Yes,12,3,3,80,0,4,3,3,1,0,0,0
29,No,Travel_Rarely,1278,Research & Development,12,3,Technical Degree,1,358,1,Female,85,3,4,Manufacturing Director,4,Single,10681,7507,2,Y,Yes,17,4,3,80,1,6,6,3,6,2,1,5
29,No,Travel_Rarely,1106,Research & Development,9,4,Medical,1,359,2,Male,85,3,2,Manager,1,Married,6909,17290,3,Y,No,11,4,3,80,0,9,0,3,1,0,0,0
36,No,Travel_Rarely,1101,Sales,10,4,Medical,1,360,2,Female,77,3,2,Sales Representative,4,Single,6762,21978,0,Y,No,11,3,1,80,0,16,4,3,5,3,1,3
47,No,Non-Travel,934,Research & Development,7,3,Technical Degree,1,361,3,Female,76,3,3,Laboratory Technician,3,Married,10298,11646,1,Y,No,15,3,1,80,1,26,3,3,5,4,0,2
25,No,Travel_Rarely,803,Sales,10,3,Other,1,362,2,Male,74,3,1,Sales Executive,3,Married,3838,26192,2,Y,No,21,3,2,80,2,4,3,2,4,3,0,1
47,No,Non-Travel,1080,Sales,3,4,Life Sciences,1,363,4,Female,99,4,4,Sales Executive,1,Married,12568,25211,5,Y,Yes,12,3,1,80,1,24,2,2,11,4,2,9
26,No,Travel_Rarely,1342,Sales,8,3,Medical,1,364,1,Female,56,3,2,Sales Representative,4,Married,7453,18575,1,Y,No,13,3,2,80,0,3,3,3,2,1,0,0
38,No,Travel_Rarely,1281,Human Resources,12,4,Other,1,365,2,Male,54,2,2,Manager,3,Single,7335,15234,4,Y,No,16,3,2,80,2,15,4,3,1,0,0,0
18,Yes,Non-Travel,899,Research & Development,1,3,Technical Degree,1,366,3,Male,94,3,4,Healthcare Representative,2,Single,12266,4822,2,Y,No,21,3,1,80,2,0,0,4,1,0,0,0
32,No,Travel_Rarely,893,Research & Development,1,3,Other,1,367,3,Male,69,3,3,Manufacturing Director,2,Married,8641,8989,2,Y,No,14,3,2,80,0,11,1,3,3,0,0,1
32,No,Travel_Frequently,384,Research & Development,7,2,Technical Degree,1,368,3,Male,36,3,1,Research Scientist,3,Married,6243,8542,5,Y,No,11,3,3,80,1,10,0,3,5,3,2,4
60,No,Travel_Frequently,921,Sales,3,2,Life Sciences,1,369,3,Male,98,3,2,Sales Representative,4,Single,10424,16905,5,Y,No,12,3,3,80,1,40,5,3,9,3,0,3
41,No,Travel_Frequently,418,Research & Development,23,2,Technical Degree,1,370,3,Male,66,2,5,Laboratory Technician,1,Divorced,15202,15674,4,Y,No,15,4,2,80,0,19,4,3,7,2,0,3
29,Yes,Travel_Rarely,1325,Sales,22,2,Life Sciences,1,371,1,Male,61,3,1,Sales Representative,1,Single,4563,12768,1,Y,No,12,4,4,80,1,6,3,3,5,4,0,2
50,Yes,Travel_Rarely,1013,Research & Development,26,1,Medical,1,372,3,Male,45,3,2,Manager,2,Divorced,8989,22860,4,Y,Yes,18,3,4,80,0,29,3,3,1,0,0,0
29,Yes,Travel_Frequently,940,Sales,6,4,Medical,1,373,4,Male,66,3,2,Sales Representative,1,Single,6712,16132,2,Y,Yes,14,3,3,80,0,9,2,1,9,4,0,6
38,Yes,Travel_Rarely,374,Research & Development,5,2,Life Sciences,1,374,4,Female,67,2,2,Manufacturing Director,1,Married,6308,20790,3,Y,No,11,3,3,80,0,16,3,1,3,1,1,2
32,No,Travel_Rarely,610,Research & Development,1,4,Life Sciences,1,375,3,Male,39,3,5,Laboratory Technician,4,Married,13742,6675,3,Y,No,12,4,3,80,0,9,1,3,2,0,0,1
47,Yes,Non-Travel,143,Sales,1,2,Other,1,376,4,Female,52,3,5,Sales Executive,2,Married,14945,25735,2,Y,No,14,3,4,80,0,26,2,3,1,0,0,0
38,No,Non-Travel,933,Research & Development,14,2,Medical,1,377,4,Male,88,3,2,Research Scientist,1,Single,8568,8432,4,Y,No,12,3,1,80,0,17,2,2,6,4,2,3
29,No,Travel_Rarely,202,Research & Development,1,2,Life Sciences,1,378,4,Male,54,3,4,Laboratory Technician,3,Divorced,9975,21463,4,Y,No,13,3,3,80,0,7,4,3,7,6,3,5
32,No,Travel_Rarely,1049,Research & Development,8,1,Life Sciences,1,379,2,Female,38,3,1,Manufacturing Director,3,Married,3257,15760,2,Y,No,14,3,3,80,0,9,4,1,5,3,2,2
25,No,Travel_Frequently,118,Research & Development,29,3,Other,1,380,4,Female,51,3,2,Manager,3,Single,6397,18816,5,Y,No,15,3,3,80,2,3,3,3,1,0,0,0
34,No,Travel_Rarely,1050,Sales,4,3,Marketing,1,381,3,Male,44,1,1,Manager,1,Married,4261,18951,3,Y,No,17,3,3,80,0,12,0,2,5,2,2,4
53,No,Travel_Rarely,1132,Research & Development,11,3,Life Sciences,1,382,2,Female,65,2,2,Manufacturing Director,3,Married,8064,5584,0,Y,No,15,3,2,80,0,31,6,3,7,6,3,5
18,No,Travel_Rarely,224,Research & Development,4,3,Life Sciences,1,383,4,Male,84,3,2,Healthcare Representative,4,Married,5314,19664,2,Y,No,14,3,3,80,0,0,0,3,0,0,0,0
45,No,Travel_Frequently,1377,Research & Development,1,2,Technical Degree,1,384,4,Female,39,3,4,Manufacturing Director,4,Divorced,12318,11631,0,Y,Yes,11,3,4,80,2,25,3,3,6,2,3,5
48,No,Travel_Frequently,1011,Sales,2,3,Other,1,385,4,Male,94,3,4,Manager,3,Single,12246,15986,2,Y,No,11,3,4,80,3,26,2,3,3,0,0,2
41,No,Travel_Rarely,765,Research & Development,10,3,Technical Degree,1,386,3,Female,83,3,2,Research Director,2,Divorced,6928,11276,1,Y,Yes,13,3,4,80,0,20,2,3,1,0,0,0
45,No,Travel_Frequently,923,Research & Development,3,3,Technical Degree,1,387,1,Female,76,3,4,Healthcare Representative,4,Divorced,11846,6694,1,Y,No,16,4,1,80,0,22,2,2,3,1,0,1
36,No,Travel_Rarely,359,Research & Development,11,4,Life Sciences,1,388,4,Female,35,2,5,Healthcare Representative,3,Single,12183,17433,2,Y,No,15,4,4,80,1,14,2,4,3,1,0,2
48,No,Travel_Rarely,848,Sales,8,3,Other,1,389,3,Male,54,2,4,Sales Representative,3,Single,12746,19185,1,Y,No,11,3,3,80,1,26,2,2,2,0,0,0
36,No,Non-Travel,402,Research & Development,29,3,Medical,1,390,3,Male,79,3,3,Manager,3,Married,8007,18479,1,Y,No,16,3,1,80,1,13,6,3,13,5,1,8
18,Yes,Travel_Rarely,1136,Sales,10,4,Other,1,391,4,Female,70,2,1,Sales Executive,2,Married,4325,8683,3,Y,Yes,13,4,1,80,1,0,3,3,0,0,0,0
37,No,Travel_Rarely,749,Research & Development,8,4,Other,1,392,4,Male,53,3,4,Laboratory Technician,3,Married,11937,23152,3,Y,No,11,3,1,80,1,16,4,3,6,3,1,3
32,No,Travel_Rarely,325,Sales,4,4,Marketing,1,393,1,Female,43,3,3,Sales Executive,2,Divorced,9379,20326,4,Y,No,14,3,2,80,0,11,2,3,2,1,1,1
36,No,Travel_Rarely,397,Sales,9,2,Marketing,1,394,4,Male,78,3,5,Manager,4,Married,13141,26646,6,Y,Yes,14,4,3,80,0,14,4,3,14,8,8,5
26,No,Travel_Rarely,847,Research & Development,4,3,Life Sciences,1,395,4,Female,62,3,2,Research Director,4,Single,6316,11059,2,Y,No,15,3,3,80,1,4,3,3,1,0,0,0
33,No,Travel_Rarely,243,Sales,3,1,Other,1,396,4,Female,98,3,2,Sales Representative,1,Divorced,7484,9326,4,Y,No,14,3,1,80,0,11,3,2,0,0,0,0
31,No,Travel_Rarely,951,Research & Development,9,1,Technical Degree,1,397,2,Male,78,3,3,Research Scientist,4,Single,8591,22422,1,Y,No,15,3,2,80,0,10,2,3,2,0,1,1
41,No,Travel_Rarely,830,Research & Development,11,3,Other,1,398,2,Female,75,2,1,Laboratory Technician,4,Married,3569,21030,3,Y,No,20,3,4,80,1,18,5,2,12,11,6,10
23,Yes,Non-Travel,268,Sales,2,5,Other,1,399,2,Male,73,3,4,Manager,3,Single,12163,24649,3,Y,Yes,11,3,4,80,0,3,1,4,1,0,0,0
39,No,Travel_Rarely,472,Research & Development,9,4,Other,1,400,3,Female,83,2,2,Healthcare Representative,4,Married,7932,25138,7,Y,No,14,3,3,80,1,16,4,3,7,6,0,4
32,No,Travel_Rarely,1041,Research & Development,17,1,Other,1,401,1,Male,59,2,2,Research Scientist,4,Married,7381,23997,3,Y,No,11,3,1,80,2,12,3,3,1,0,0,0
36,Yes,Travel_Rarely,243,Research & Development,3,3,Life Sciences,1,402,2,Male,95,3,3,Research Director,1,Single,9527,20195,2,Y,Yes,11,3,3,80,2,15,6,3,0,0,0,0
33,No,Travel_Frequently,212,Research & Development,8,2,Other,1,403,3,Female,46,1,3,Manager,3,Divorced,9913,8117,3,Y,No,15,3,3,80,0,13,4,3,13,10,6,12
42,Yes,Travel_Rarely,931,Sales,5,4,Life Sciences,1,404,2,Female,72,3,2,Sales Representative,1,Single,10180,4740,2,Y,No,17,3,3,80,1,21,2,3,0,0,0,0
24,No,Travel_Rarely,1046,Sales,1,2,Life Sciences,1,405,3,Female,53,3,1,Manager,4,Divorced,3597,2254,2,Y,No,15,3,2,80,0,2,2,3,2,0,0,0
36,No,Travel_Rarely,582,Human Resources,1,2,Other,1,406,1,Male,97,3,2,Human Resources,4,Married,6800,17225,3,Y,No,11,3,4,80,0,14,1,3,6,4,0,3
30,No,Travel_Frequently,521,Research & Development,2,3,Technical Degree,1,407,4,Female,35,3,3,Manager,1,Single,7874,6840,4,Y,Yes,12,3,2,80,0,10,3,2,5,3,1,1
36,No,Travel_Rarely,1429,Research & Development,24,4,Other,1,408,3,Male,37,2,1,Manufacturing Director,1,Single,3891,5349,3,Y,No,13,4,3,80,0,15,5,3,12,7,6,4
30,No,Travel_Rarely,905,Sales,1,3,Life Sciences,1,409,3,Male,54,3,4,Manager,3,Single,10716,3546,0,Y,No,16,4,2,80,0,10,3,3,5,2,1,2
32,No,Travel_Rarely,933,Research & Development,6,3,Life Sciences,1,410,2,Female,39,3,2,Laboratory Technician,2,Single,6328,6412,3,Y,Yes,13,4,2,80,0,10,4,3,3,1,0,2
46,No,Travel_Frequently,383,Research & Development,19,4,Other,1,411,4,Female,32,3,3,Research Director,4,Married,9715,2961,2,Y,No,17,3,4,80,0,26,3,3,2,1,1,1
21,No,Travel_Rarely,539,Research & Development,1,3,Life Sciences,1,412,4,Female,33,2,3,Healthcare Representative,2,Married,8265,15982,3,Y,No,14,3,2,80,1,0,1,3,0,0,0,0
35,No,Travel_Rarely,492,Research & Development,6,5,Other,1,413,2,Male,41,3,4,Healthcare Representative,3,Divorced,11565,21206,2,Y,No,11,3,2,80,1,15,0,3,15,13,1,10
21,No,Travel_Rarely,1379,Research & Development,6,2,Life Sciences,1,414,1,Female,30,3,3,Research Scientist,2,Single,7993,5621,2,Y,No,13,3,2,80,2,0,5,3,1,0,0,0
42,No,Travel_Rarely,1308,Sales,1,3,Life Sciences,1,415,4,Female,96,3,2,Manager,4,Married,6710,16718,4,Y,No,18,3,2,80,2,19,3,2,5,3,0,3
31,Yes,Travel_Frequently,822,Research & Development,9,3,Life Sciences,1,416,3,Male,45,3,3,Healthcare Representative,1,Married,9691,19752,4,Y,No,11,3,2,80,0,10,1,3,1,0,0,0
36,No,Travel_Frequently,625,Research & Development,1,3,Medical,1,417,3,Male,79,3,4,Research Scientist,3,Married,11422,10261,4,Y,No,15,3,2,80,1,15,6,2,15,14,0,6
31,Yes,Travel_Frequently,369,Research & Development,2,3,Medical,1,418,2,Male,40,3,4,Research Scientist,2,Married,11403,12446,1,Y,No,19,3,4,80,1,9,3,3,9,6,3,4
57,No,Travel_Rarely,333,Sales,12,4,Medical,1,419,2,Female,87,3,1,Sales Executive,3,Married,5773,18803,2,Y,Yes,17,3,4,80,1,34,4,4,6,2,3,5
51,No,Travel_Frequently,828,Research & Development,8,4,Medical,1,420,4,Male,65,3,5,Research Scientist,4,Married,14765,22158,2,Y,No,14,3,3,80,1,30,0,2,3,1,1,2
37,No,Travel_Rarely,978,Research & Development,9,3,Medical,1,421,1,Female,48,1,4,Research Scientist,4,Married,11068,17801,2,Y,No,18,4,3,80,0,14,6,2,0,0,0,0
18,No,Travel_Rarely,962,Research & Development,13,3,Life Sciences,1,422,2,Female,30,3,1,Healthcare Representative,4,Single,3172,23435,1,Y,No,20,3,4,80,0,0,0,2,1,0,0,0
33,Yes,Travel_Rarely,1064,Sales,19,2,Other,1,423,4,Male,63,2,3,Sales Representative,4,Divorced,10539,4613,2,Y,Yes,17,4,3,80,1,13,0,3,4,1,1,3
44,No,Non-Travel,1436,Sales,1,3,Other,1,424,1,Male,39,3,5,Manager,2,Single,14183,16102,4,Y,No,11,3,3,80,1,23,4,3,0,0,0,0
27,Yes,Travel_Rarely,924,Research & Development,2,2,Medical,1,425,3,Female,87,3,5,Research Director,2,Married,12378,12412,1,Y,No,12,3,3,80,0,7,1,3,0,0,0,0
37,No,Travel_Rarely,363,Research & Development,25,2,Other,1,426,3,Male,91,2,2,Manager,3,Married,5850,18968,3,Y,No,17,4,2,80,0,14,1,2,5,1,2,1
34,No,Travel_Frequently,916,Sales,8,3,Other,1,427,4,Female,56,2,1,Manager,2,Married,4949,19168,4,Y,No,14,3,2,80,0,13,2,2,2,1,1,1
47,No,Travel_Frequently,1265,Research & Development,1,1,Other,1,428,2,Male,91,3,2,Healthcare Representative,4,Married,8309,3400,1,Y,Yes,11,4,3,80,1,25,4,2,6,5,0,3
27,No,Travel_Rarely,1414,Research & Development,2,2,Other,1,429,1,Female,79,3,5,Laboratory Technician,4,Single,13782,6193,3,Y,No,12,3,3,80,0,4,1,3,4,1,1,2
29,No,Travel_Rarely,1402,Sales,1,3,Medical,1,430,2,Female,71,1,3,Sales Executive,2,Married,7819,6755,2,Y,No,11,3,4,80,3,7,1,4,0,0,0,0
36,Yes,Travel_Frequently,1157,Research & Development,1,1,Medical,1,431,4,Male,46,3,3,Laboratory Technician,1,Married,11060,4947,3,Y,Yes,11,3,3,80,0,16,2,4,1,0,0,0
49,No,Travel_Frequently,1171,Sales,18,1,Marketing,1,432,1,Male,87,3,3,Sales Executive,4,Married,10611,10660,0,Y,No,14,3,4,80,1,27,0,3,1,0,0,0
40,No,Travel_Rarely,1333,Sales,4,3,Marketing,1,433,4,Female,30,2,1,Sales Executive,3,Married,6102,9621,3,Y,No,19,3,4,80,2,19,4,3,3,2,0,1
24,No,Travel_Frequently,491,Research & Development,7,3,Other,1,434,3,Male,82,2,3,Research Director,2,Single,9995,23465,4,Y,No,18,4,1,80,0,4,2,3,2,1,1,1
47,No,Travel_Frequently,1309,Research & Development,1,3,Technical Degree,1,435,4,Female,92,3,2,Manager,1,Single,7008,14321,1,Y,No,14,3,4,80,0,26,4,3,3,2,1,0
41,No,Travel_Rarely,669,Research & Development,26,2,Life Sciences,1,436,1,Male,97,2,2,Research Scientist,4,Single,4937,5153,1,Y,No,11,3,4,80,0,19,6,3,13,12,0,5
41,No,Travel_Rarely,729,Sales,1,2,Life Sciences,1,437,2,Female,76,3,2,Sales Representative,4,Married,8392,18567,4,Y,No,21,3,3,80,0,20,5,3,5,1,1,4
39,No,Travel_Rarely,1279,Sales,1,4,Other,1,438,4,Male,57,2,3,Manager,4,Single,9779,17586,3,Y,No,12,3,3,80,1,18,2,3,3,1,0,2
47,No,Travel_Rarely,466,Research & Development,1,2,Life Sciences,1,439,1,Male,73,3,3,Research Scientist,2,Married,10632,26640,5,Y,Yes,15,3,1,80,1,25,5,4,5,1,1,2
38,No,Travel_Rarely,470,Research & Development,3,4,Other,1,440,3,Female,91,2,4,Laboratory Technician,2,Divorced,11882,14475,0,Y,Yes,14,3,3,80,0,18,2,3,0,0,0,0
41,No,Travel_Rarely,678,Research & Development,17,1,Life Sciences,1,441,4,Female,31,3,5,Manufacturing Director,3,Single,12600,2782,2,Y,No,11,4,2,80,0,19,0,2,2,1,0,0
52,No,Travel_Rarely,938,Sales,1,3,Other,1,442,2,Male,88,3,3,Sales Executive,4,Single,10417,13029,3,Y,No,13,4,1,80,1,30,1,3,1,0,0,0
48,Yes,Travel_Rarely,1110,Sales,4,2,Other,1,443,1,Male,81,3,2,Manager,4,Married,6784,4351,4,Y,No,11,3,4,80,3,27,5,4,4,1,0,2
48,No,Travel_Frequently,372,Research & Development,4,2,Technical Degree,1,444,4,Male,93,3,1,Manager,3,Divorced,5362,11409,1,Y,No,17,4,2,80,2,28,2,3,2,1,0,1
25,No,Travel_Rarely,1173,Sales,3,3,Life Sciences,1,445,3,Male,43,3,1,Sales Executive,1,Married,4419,15592,2,Y,Yes,12,3,2,80,1,3,2,2,0,0,0,0
20,No,Travel_Rarely,1138,Sales,6,3,Other,1,446,4,Male,84,1,2,Sales Executive,3,Single,5572,3973,2,Y,No,11,3,4,80,1,0,3,3,1,0,0,0
37,Yes,Travel_Frequently,609,Research & Development,11,3,Other,1,447,3,Male,51,1,5,Healthcare Representative,2,Married,14231,24975,4,Y,No,13,4,3,80,0,17,1,3,1,0,0,0
27,No,Travel_Rarely,373,Research & Development,1,3,Technical Degree,1,448,1,Female,64,3,2,Laboratory Technician,4,Married,5246,15825,5,Y,No,13,3,4,80,0,6,2,4,3,2,1,1
34,No,Travel_Frequently,1307,Human Resources,2,3,Human Resources,1,449,2,Male,70,2,1,Human Resources,4,Divorced,4455,15878,0,Y,No,13,3,3,80,2,13,2,3,5,4,0,3
35,No,Travel_Frequently,1001,Research & Development,23,3,Technical Degree,1,450,4,Female,72,3,2,Healthcare Representative,2,Married,7807,7574,1,Y,No,13,3,4,80,0,14,1,3,3,1,0,1
40,No,Travel_Rarely,960,Sales,1,2,Life Sciences,1,451,3,Male,51,3,4,Manager,4,Divorced,12698,13347,3,Y,No,17,3,2,80,1,19,2,3,6,3,2,3
21,No,Travel_Rarely,1393,Research & Development,8,4,Other,1,452,3,Female,51,3,1,Manager,3,Married,4755,5558,3,Y,No,17,4,4,80,1,0,4,2,1,0,0,0
45,No,Travel_Rarely,1202,Sales,2,2,Marketing,1,453,1,Male,79,3,5,Sales Executive,3,Married,14690,14871,3,Y,No,14,3,4,80,1,24,2,3,24,10,1,8
52,No,Travel_Rarely,310,Research & Development,15,3,Technical Degree,1,454,2,Male,94,2,5,Laboratory Technician,2,Single,16253,3985,2,Y,Yes,11,3,3,80,1,31,1,3,0,0,0,0
